id,time,x
0.0,0.0,0.496714153011
0.0,1.0,-0.138264301171
0.0,2.0,0.647688538101
0.0,3.0,1.52302985641
0.0,4.0,-0.234153374723
0.0,5.0,-0.234136956949
0.0,6.0,1.57921281551
0.0,7.0,0.767434729153
0.0,8.0,-0.469474385935
0.0,9.0,0.542560043586
0.0,10.0,-0.463417692812
0.0,11.0,-0.46572975357
0.0,12.0,0.241962271566
0.0,13.0,-1.91328024466
0.0,14.0,-1.72491783251
0.0,15.0,-0.562287529241
0.0,16.0,-1.01283112033
0.0,17.0,0.314247332595
0.0,18.0,-0.908024075521
0.0,19.0,-1.41230370134
0.0,20.0,1.46564876892
0.0,21.0,-0.225776300487
0.0,22.0,0.0675282046879
0.0,23.0,-1.42474818621
0.0,24.0,-0.544382724525
0.0,25.0,0.11092258971
0.0,26.0,-1.15099357742
0.0,27.0,0.375698018346
0.0,28.0,-0.600638689919
0.0,29.0,-0.291693749793
0.0,30.0,-0.601706612229
0.0,31.0,1.85227818451
0.0,32.0,-0.0134972247379
0.0,33.0,-1.05771092896
0.0,34.0,0.822544912103
0.0,35.0,-1.22084364997
0.0,36.0,0.208863595005
0.0,37.0,-1.95967012388
0.0,38.0,-1.3281860489
0.0,39.0,0.196861235869
1.0,0.0,0.738466579995
1.0,1.0,0.17136828119
1.0,2.0,-0.115648282388
1.0,3.0,-0.301103695589
1.0,4.0,-1.47852199037
1.0,5.0,-0.719844208395
1.0,6.0,-0.46063877096
1.0,7.0,1.05712222622
1.0,8.0,0.343618289568
1.0,9.0,-1.76304015536
1.0,10.0,0.324083969395
1.0,11.0,-0.385082280416
1.0,12.0,-0.676922000306
1.0,13.0,0.611676288841
1.0,14.0,1.0309995225
1.0,15.0,0.931280119116
1.0,16.0,-0.839217523223
1.0,17.0,-0.309212375851
1.0,18.0,0.331263431404
1.0,19.0,0.975545127122
1.0,20.0,-0.479174237845
1.0,21.0,-0.185658976664
1.0,22.0,-1.10633497401
1.0,23.0,-1.19620662408
1.0,24.0,0.812525822394
1.0,25.0,1.35624002857
1.0,26.0,-0.0720101215803
1.0,27.0,1.00353289789
1.0,28.0,0.361636025048
1.0,29.0,-0.645119754605
1.0,30.0,0.361395605508
1.0,31.0,1.53803656647
1.0,32.0,-0.03582603911
1.0,33.0,1.56464365581
1.0,34.0,-2.61974510409
1.0,35.0,0.821902504375
1.0,36.0,0.0870470682382
1.0,37.0,-0.299007350466
1.0,38.0,0.0917607765355
1.0,39.0,-1.9875689146
2.0,0.0,-0.219671887838
2.0,1.0,0.357112571512
2.0,2.0,1.47789404474
2.0,3.0,-0.518270218274
2.0,4.0,-0.808493602893
2.0,5.0,-0.501757043585
2.0,6.0,0.915402117702
2.0,7.0,0.32875110966
2.0,8.0,-0.529760203767
2.0,9.0,0.513267433113
2.0,10.0,0.097077549348
2.0,11.0,0.968644990533
2.0,12.0,-0.702053093877
2.0,13.0,-0.327662146598
2.0,14.0,-0.392108153132
2.0,15.0,-1.46351494813
2.0,16.0,0.296120277065
2.0,17.0,0.26105527218
2.0,18.0,0.00511345664246
2.0,19.0,-0.234587133375
2.0,20.0,-1.41537074205
2.0,21.0,-0.420645322765
2.0,22.0,-0.342714516527
2.0,23.0,-0.802277269222
2.0,24.0,-0.161285711666
2.0,25.0,0.404050856815
2.0,26.0,1.88618590121
2.0,27.0,0.174577812832
2.0,28.0,0.257550390723
2.0,29.0,-0.0744459157662
2.0,30.0,-1.9187712153
2.0,31.0,-0.0265138754492
2.0,32.0,0.060230209941
2.0,33.0,2.46324211249
2.0,34.0,-0.192360964781
2.0,35.0,0.301547342334
2.0,36.0,-0.0347117697052
2.0,37.0,-1.16867803762
2.0,38.0,1.14282281452
2.0,39.0,0.751933032687
3.0,0.0,0.791031947043
3.0,1.0,-0.909387454795
3.0,2.0,1.40279431094
3.0,3.0,-1.40185106279
3.0,4.0,0.5868570938
3.0,5.0,2.19045562581
3.0,6.0,-0.990536325131
3.0,7.0,-0.566297729603
3.0,8.0,0.0996513650876
3.0,9.0,-0.503475654116
3.0,10.0,-1.55066343107
3.0,11.0,0.068562974806
3.0,12.0,-1.06230371373
3.0,13.0,0.473592430635
3.0,14.0,-0.919424234234
3.0,15.0,1.54993440502
3.0,16.0,-0.783253292336
3.0,17.0,-0.322061516206
3.0,18.0,0.81351721737
3.0,19.0,-1.23086431643
3.0,20.0,0.227459934604
3.0,21.0,1.30714275428
3.0,22.0,-1.60748323456
3.0,23.0,0.184633858532
3.0,24.0,0.259882794248
3.0,25.0,0.781822871777
3.0,26.0,-1.23695071088
3.0,27.0,-1.32045661308
3.0,28.0,0.521941565617
3.0,29.0,0.296984673233
3.0,30.0,0.250492850346
3.0,31.0,0.346448209497
3.0,32.0,-0.680024721578
3.0,33.0,0.232253697161
3.0,34.0,0.293072473299
3.0,35.0,-0.714351418026
3.0,36.0,1.86577451114
3.0,37.0,0.473832920912
3.0,38.0,-1.1913034972
3.0,39.0,0.656553608634
4.0,0.0,-0.974681670227
4.0,1.0,0.787084603742
4.0,2.0,1.15859557901
4.0,3.0,-0.820682318352
4.0,4.0,0.963376129244
4.0,5.0,0.412780926936
4.0,6.0,0.822060159994
4.0,7.0,1.89679298265
4.0,8.0,-0.245388116003
4.0,9.0,-0.753736164357
4.0,10.0,-0.889514429626
4.0,11.0,-0.815810284965
4.0,12.0,-0.0771017094141
4.0,13.0,0.341151974817
4.0,14.0,0.27669079933
4.0,15.0,0.827183249036
4.0,16.0,0.0130018918779
4.0,17.0,1.45353407716
4.0,18.0,-0.264656833238
4.0,19.0,2.72016916659
4.0,20.0,0.625667347765
4.0,21.0,-0.857157556416
4.0,22.0,-1.07089249806
4.0,23.0,0.482472415243
4.0,24.0,-0.223462785326
4.0,25.0,0.714000494092
4.0,26.0,0.473237624574
4.0,27.0,-0.0728289126569
4.0,28.0,-0.846793718068
4.0,29.0,-1.51484722469
4.0,30.0,-0.446514952067
4.0,31.0,0.856398794323
4.0,32.0,0.21409374413
4.0,33.0,-1.24573877871
4.0,34.0,0.173180925851
4.0,35.0,0.385317379729
4.0,36.0,-0.883857436201
4.0,37.0,0.153725105946
4.0,38.0,0.058208718446
4.0,39.0,-1.14297029783
5.0,0.0,0.357787360348
5.0,1.0,0.560784526368
5.0,2.0,1.08305124318
5.0,3.0,1.05380205203
5.0,4.0,-1.37766936796
5.0,5.0,-0.937825039915
5.0,6.0,0.515035267209
5.0,7.0,0.513785950912
5.0,8.0,0.515047686306
5.0,9.0,3.85273149065
5.0,10.0,0.570890510693
5.0,11.0,1.13556564018
5.0,12.0,0.954001763493
5.0,13.0,0.651391251306
5.0,14.0,-0.31526924464
5.0,15.0,0.758969220493
5.0,16.0,-0.772825214538
5.0,17.0,-0.23681860674
5.0,18.0,-0.485363547829
5.0,19.0,0.0818741393863
5.0,20.0,2.31465856667
5.0,21.0,-1.86726519259
5.0,22.0,0.686260190375
5.0,23.0,-1.61271587119
5.0,24.0,-0.471931865789
5.0,25.0,1.08895059697
5.0,26.0,0.0642800190955
5.0,27.0,-1.07774477793
5.0,28.0,-0.71530370926
5.0,29.0,0.679597748935
5.0,30.0,-0.730366631717
5.0,31.0,0.216458589582
5.0,32.0,0.0455718399038
5.0,33.0,-0.651600347606
5.0,34.0,2.14394408933
5.0,35.0,0.633919022318
5.0,36.0,-2.02514258666
5.0,37.0,0.186454314769
5.0,38.0,-0.661786464768
5.0,39.0,0.852433334796
6.0,0.0,-0.792520738433
6.0,1.0,-0.114736441467
6.0,2.0,0.50498727898
6.0,3.0,0.86575519417
6.0,4.0,-1.20029640706
6.0,5.0,-0.334501235841
6.0,6.0,-0.474945311161
6.0,7.0,-0.653329232574
